# Satellite parameters in the following order from left to right:
# Satellite ID, components of initial position (X, Y, Z) in meters, components of initial velocity (U, V, W) in meters per second
0094,-1.06147337567794e+06, 1.83852581755585e+06, 6.53375826694771e+06,-7.52415427221742e+03,-3.18725399976045e+02,-1.13268723076631e+03
0095,-1.43602287658606e+06, 3.00456230748451e+06, 6.00912461496901e+06, 7.44544234950651e+03, 7.15564320564121e+02, 1.43112864112824e+03
0096,-1.58458211581855e+06, 3.81416923996629e+06, 5.48915346672543e+06,-1.17478970350262e+03,-6.32967606212455e+03, 4.06959090935061e+03
0097,-1.42733943697770e+06, 4.54948412397722e+06, 4.94444884898425e+06,-1.40088662210901e+03,-5.70111541899590e+03, 4.85281361027270e+03
0098,-1.36995379821622e+06, 4.77309198904968e+06, 4.74565916506492e+06,-1.46964472406590e+03,-5.47170926230584e+03, 5.09099866231535e+03
0099,-1.51024388747465e+06, 5.25502485725548e+06, 4.15734476444442e+06,-1.99154134020079e+03,-4.89872555416215e+03, 5.48224298904662e+03
0100,-1.69883840530524e+06, 5.91053131415538e+06, 3.05928194149065e+06,-3.18403704413424e+03,-3.87346459528594e+03, 5.73383966346522e+03
0101,-1.75844992254308e+06, 6.12854871733998e+06, 2.55517730419055e+06,-3.85491227319085e+03,-3.43230820138224e+03, 5.60151541640594e+03
0102,-2.64022956582513e+06, 5.89005362095463e+06,-2.35101187701012e+06,-4.88012727901579e+03,-3.91223846059553e+03,-4.34554530514906e+03
0103,-2.89408540907207e+06, 5.67246809298510e+06,-2.57705968370357e+06,-4.69998424649576e+03,-4.28906078327843e+03,-4.18513561407629e+03
0104,-2.36487914422438e+06, 5.45786038405240e+06,-3.43637054374385e+06,-3.43338077784469e+03,-4.61826839109757e+03,-4.98899429988059e+03
0105,-2.29669333916823e+06, 4.98102268048768e+06,-4.13590394219796e+06,-2.68375784951352e+03,-5.23878478275465e+03,-4.83293284323611e+03
0106,-2.18859566997514e+06, 4.33252420339193e+06,-4.86136348195075e+06,-1.97443441501960e+03,-5.90501292044532e+03,-4.38566314206046e+03
0107,-1.96689752089318e+06, 3.74302941900571e+06,-5.41440437435392e+06,-1.41920501376541e+03,-6.38149324059002e+03,-3.90673624477751e+03
0108,-1.71025203368998e+06, 2.97563533953826e+06,-5.95127067907650e+06, 7.37374036450480e+03, 8.51511811051545e+02,-1.70302362210309e+03
0109,-7.12444083376597e+05, 2.45810426581219e+06,-6.37509309886163e+06,-7.57583289355911e+03,-2.81146821275535e+02, 7.29154245004447e+02
0110,-3.57224999382388e+05, 1.24201085925246e+06,-6.74714813122592e+06,-7.60595812020927e+03,-7.01690039507641e+01, 3.81188828060152e+02
0111,-3.51579320780285e+05, 6.21937666517907e+05,-6.83275756254023e+06, 7.60518724405922e+03, 3.60929838745833e+01,-3.96526246600305e+02
0112,-1.62806646055004e+04, 6.22768244125664e+05, 6.84188248893755e+06,-7.61537660895393e+03,-1.63544961831826e+00,-1.79674448892728e+01
0113,-3.26927331498414e+05, 1.24228082832064e+06, 6.74861472169919e+06, 7.60721594882861e+03, 6.56150896186141e+01, 3.56449966602474e+02
0114,-3.74773941501206e+04, 1.86099733579901e+06, 6.61361761223951e+06,-7.61486613756675e+03,-1.12388740101080e+01,-3.99407423455992e+01
0115,-8.12776032361769e+05, 3.05101039348036e+06, 6.10202078696071e+06, 7.56057189276582e+03, 4.06604835476621e+02, 8.13209670953241e+02
0116,-6.87869809911218e+04, 3.65789741571115e+06, 5.81352908115872e+06,-7.61650367228849e+03,-3.62181195229797e+01,-5.75617813138556e+01
0117,-1.11298134340783e+06, 4.16911896166607e+06, 5.34658183744287e+06, 7.51292364382753e+03, 7.63603478974294e+02, 9.79264091341903e+02
0118,-1.22146036246810e+06, 5.27064810683427e+06, 4.23126281445249e+06,-1.62264334775040e+03,-4.87805949682028e+03, 5.62100144173468e+03
0119,-1.02196413497219e+06, 5.79585776466949e+06, 3.54018761057004e+06,-1.78414697546329e+03,-4.08045277178100e+03, 6.18046641934550e+03
0120,-7.76448094954096e+05, 6.27102825987455e+06, 2.68969509980112e+06,-1.93025683807367e+03,-3.09878202007215e+03, 6.68660583040169e+03
0121,-6.78814896506072e+05, 6.41644002723663e+06, 2.35148377936625e+06,-1.97496498745757e+03,-2.70838813574869e+03, 6.84147940289229e+03
0122,-1.61834798996083e+06, 6.24733247778133e+06,-2.35159727963706e+06,-3.92956996145137e+03,-3.15830080749676e+03,-5.70999938753361e+03
0123,-1.43117459939965e+06, 6.20359924889143e+06,-2.57727079479156e+06,-3.34177655068967e+03,-3.26214472292042e+03,-6.01789824276134e+03
0124,-1.24772864816411e+06, 5.81540881419903e+06,-3.43470230597405e+06,-2.20367758973798e+03,-4.04621918629147e+03,-6.06620398612571e+03
